ID_REF,probe_id,log2FC,p_value,adj_p_value,mean_tumor,mean_nontumor
TC01000658.hg.1,TC01000658.hg.1,-3.2280498915327973,2.0139472316709014e-76,1.2911690331410104e-73,5.0645510172341295,8.292600908766927
TC12000840.hg.1,TC12000840.hg.1,-2.061960015182012,3.0662876995858096e-76,1.9437507801711484e-73,5.064366690686363,7.126326705868375
TC11002685.hg.1,TC11002685.hg.1,-2.2456853325030863,3.59742789935011e-76,2.2551076358392724e-73,4.859486021737825,7.105171354240912
TC17001970.hg.1,TC17001970.hg.1,-3.1863866515303334,4.582885509570857e-76,2.8412882931754794e-73,7.781162212214022,10.967548863744355
TC15000284.hg.1,TC15000284.hg.1,-1.2212207506350863,4.733258324037517e-76,2.9026192187559634e-73,6.683303072719631,7.904523823354717
TC03001004.hg.1,TC03001004.hg.1,-0.8182102580355011,5.02829297696201e-76,3.050389604024115e-73,6.024856643247465,6.843066901282966
TC10002424.hg.1,TC10002424.hg.1,-2.1220924623582604,5.259883982748539e-76,3.156937601475607e-73,4.263409583258273,6.3855020456165335
TC19000136.hg.1,TC19000136.hg.1,-2.6424651604620175,5.4897407301778525e-76,3.260212552791306e-73,5.2514160025220695,7.893881162984087
TC07001674.hg.1,TC07001674.hg.1,-2.723387898100353,5.89852518686757e-76,3.466489520757235e-73,6.827681243619769,9.551069141720122
TC09000788.hg.1,TC09000788.hg.1,-1.3353404790754482,6.671586836487705e-76,3.880387485989313e-73,6.453103192818112,7.78844367189356
TC10001789.hg.1,TC10001789.hg.1,-0.9813401838159459,7.545094754909517e-76,4.343664855943726e-73,6.2358926517744555,7.217232835590401
TC01002662.hg.1,TC01002662.hg.1,-1.4857053801051663,7.931244718540915e-76,4.519848126572135e-73,6.9667792926199485,8.452484672725115
TC10000983.hg.1,TC10000983.hg.1,-2.0407080422707455,8.181053664459231e-76,4.615586856414609e-73,4.415863608358856,6.456571650629601
TC12000846.hg.1,TC12000846.hg.1,-2.354507781500396,9.109879336026103e-76,5.0887244790091156e-73,6.546829621089294,8.90133740258969
TC19001975.hg.1,TC19001975.hg.1,-3.5545846821306517,9.20661345685553e-76,5.0923403726360326e-73,5.552667604635803,9.107252286766455
TC14002192.hg.1,TC14002192.hg.1,-1.3628655217299945,1.018018351945316e-75,5.555865370882381e-73,6.595800798654897,7.958666320384892
TC10001790.hg.1,TC10001790.hg.1,-1.869347310388001,1.0241589538299259e-75,5.555865370882381e-73,7.678382526271539,9.54772983665954
TC06000590.hg.1,TC06000590.hg.1,-4.172375336458501,1.38752825997143e-75,7.455387559149346e-73,5.138916094997898,9.311291431456398
TC06000599.hg.1,TC06000599.hg.1,-2.7981473348189043,1.6924323670131717e-75,9.00789144171218e-73,6.180369295021918,8.978516629840822
TC02002007.hg.1,TC02002007.hg.1,-1.249449800022977,2.146798058845455e-75,1.1319444194761018e-72,4.997082277667686,6.246532077690663
TC22000720.hg.1,TC22000720.hg.1,-1.3064028556155147,2.1825205709041448e-75,1.1401244960117595e-72,5.679732310694772,6.986135166310286
TC22000023.hg.1,TC22000023.hg.1,-1.7163918471276869,2.400344476408589e-75,1.2424094923855027e-72,4.801650665345584,6.518042512473271
TC05001520.hg.1,TC05001520.hg.1,-3.4281808805568375,2.603789564505441e-75,1.3354599968206178e-72,5.0581855461478415,8.486366426704679
TC17001188.hg.1,TC17001188.hg.1,-1.1105890989611442,2.9319075731244943e-75,1.4894733976091499e-72,6.8767891797273775,7.987378278688522
TC14001605.hg.1,TC14001605.hg.1,-1.526187300473345,2.95687582920743e-75,1.4894733976091499e-72,7.185630487599831,8.711817788073176
TC17000165.hg.1,TC17000165.hg.1,-2.0793229727180655,4.3035445969306637e-75,2.1486493722976478e-72,5.810381318681319,7.889704291399385
TC14000974.hg.1,TC14000974.hg.1,-1.1503697280095775,6.1992360823313195e-75,3.067969309587442e-72,5.9515594493484665,7.101929177358044
TC03001970.hg.1,TC03001970.hg.1,-2.833200065682119,1.0090499125995403e-74,4.950311127742684e-72,4.04154215396625,6.874742219648369
TC03003247.hg.1,TC03003247.hg.1,-1.0209684757218316,1.241662897586236e-74,6.038977358277609e-72,5.446873730859305,6.467842206581136
TC02001978.hg.1,TC02001978.hg.1,-0.9908065807375159,1.2755210849152569e-74,6.150628082799057e-72,6.241634900018012,7.2324414807555275
TC11000327.hg.1,TC11000327.hg.1,-2.5774982315825046,1.3640352665891853e-74,6.521706921222767e-72,7.789425044136191,10.366923275718696
TC03001498.hg.1,TC03001498.hg.1,-2.0123124236852457,1.625462871886079e-74,7.706333134963767e-72,5.016965108388878,7.029277532074124
